Name,URL,Primary Category,Secondary Tags,One-line Use Case,Target Buyer,Pricing,Best For,Closest Alternatives,Verification Status,Evidence Sources
Peec AI,https://peec.ai,AI Visibility Tracking,"GEO,AEO,Share-of-voice","Tracks brand mentions/sentiment/position across ChatGPT, Perplexity, Gemini","SEO/Marketing leads, agencies","Paid, ~$95-105/mo entry (region-variant, verify live)",Mid-market brands wanting multi-engine dashboards,"Otterly.AI, Profound, Scrunch AI",Verified,"web:7,web:8,web:19"
Profound,https://tryprofound.com,AI Visibility Tracking,"GEO,Enterprise AI-search",Enterprise-grade AI answer engine monitoring and analytics,Enterprise marketing/SEO teams,"Custom/Enterprise, not publicly listed",Large brands needing broad engine coverage and analyst-grade data,"Peec AI, Scrunch AI, Ahrefs Brand Radar",Verified (positioning),"web:38,web:39,web:42"
Scrunch AI,https://scrunch.com,AI Visibility Tracking,"GEO,AEO,Content optimization",AI visibility monitoring plus AEO content optimization workflow,Mid-market to enterprise marketing teams,Not publicly verified (contact sales signals),Teams wanting monitoring + optimization in one tool,"Peec AI, Profound, Promptwatch",Partially verified,"web:38,web:42,web:52"
Otterly.AI,https://otterly.ai,AI Visibility Tracking,"GEO,Prompt monitoring,Budget","Prompt-based brand/citation tracking across ChatGPT, Perplexity, Copilot, AI Overviews","Solo marketers, SMBs, small agencies",Lite $29/mo (15 prompts); Standard $189/mo; Premium $489/mo,Budget-conscious teams wanting lowest entry price,"AthenaHQ, Peec AI, ZipTie.dev",Verified,"web:69,web:70,web:71,web:75"
AthenaHQ,https://athenahq.ai,AI Visibility Tracking,"GEO,Enterprise,Credit-based",AEO 'command center' with citation engine and BI dashboards,Mid-market to enterprise GTM/SEO teams,"Free Essential (300 credits); Starter $295/mo (3,600 credits); Growth $545/mo; Enterprise $2,000+/mo",Teams wanting a free evaluation tier before a premium commitment,"Otterly.AI, LLMrefs, ZipTie.dev",Verified,"web:70,web:71,web:72,web:78"
ZipTie.dev,https://ziptie.dev,AI Visibility Tracking,"GEO,Content optimization,Budget","AI search checks plus AI content optimization across Google AI Overviews, ChatGPT, Perplexity","Small teams, solo SEOs",14-day trial; Basic $69/mo; Standard $99/mo; Pro $159/mo,Teams wanting AI checks + content optimization bundled cheaply,"Otterly.AI, AthenaHQ, LLMrefs",Verified,"web:72,web:74,web:76"
LLMrefs,https://llmrefs.com,AI Visibility Tracking,"GEO,Multi-engine","Brand mentions, sources, and fan-out query tracking across 8 AI engines",SMB to mid-market marketing teams,All-in-One $79/mo (500 prompts),Teams wanting broad engine coverage at moderate cost,"Otterly.AI, AthenaHQ, ZipTie.dev",Verified,web:72
Ahrefs Brand Radar,https://ahrefs.com/brand-radar,AI Visibility Tracking (Suite Module),"GEO,SEO suite add-on",AI visibility module inside Ahrefs mapping brand presence across 6 AI engines using a large search-backed prompt index,"Existing Ahrefs customers, SEO teams",Bundled within Ahrefs subscription tiers; standalone pricing not published,Teams already on Ahrefs wanting AI visibility without a new vendor,"Semrush AI Toolkit, Peec AI, Profound",Verified,"web:40,web:41,web:43,web:46"
Semrush AI Toolkit / AI Visibility,https://www.semrush.com,AI Visibility Tracking (Suite Module),"GEO,SEO suite add-on",AI visibility tracking module bundled inside Semrush covering ChatGPT/Perplexity/Gemini/AI Overviews,Existing Semrush customers,Bundled in Semrush plans from ~$117-140/mo (varies by source),Teams wanting AI visibility inside an existing SEO suite,"Ahrefs Brand Radar, Peec AI",Partially verified,"web:41,web:44,web:48,web:51,web:81"
Promptwatch,Not publicly verified (URL not independently confirmed),AI Visibility Tracking,GEO,AI visibility/prompt monitoring platform compared alongside Scrunch/Profound/Peec,Marketing/SEO teams,Not publicly verified,Not publicly verified,"Scrunch AI, Peec AI, Profound",Not publicly verified,web:42
